iter	Logloss
198	0.6225643396
199	0.6223607088
200	0.6221148055
201	0.6217809864
202	0.6214638494
203	0.6213144367
204	0.6209868685
205	0.6207007678
206	0.6205443095
207	0.6201848859
208	0.6198261128
209	0.6194643693
210	0.619086341
211	0.6187503127
212	0.6184037653
213	0.6180212397
214	0.6176775722
215	0.6173852355
216	0.6170779002
217	0.6168400867
218	0.6165126832
219	0.6162088179
220	0.6159692554
221	0.6156064668
222	0.6152358441
223	0.6150212459
224	0.6147567189
225	0.6144325523
226	0.6142074595
227	0.6139576919
228	0.6136189161
229	0.6133142514
230	0.6129891215
231	0.612711509
232	0.6123829721
233	0.6120409543
234	0.611791607
235	0.6116615418
236	0.6114809079
237	0.6111282048
238	0.6108620955
239	0.6105836171
240	0.6103350687
241	0.610176749
242	0.6098662299
243	0.6095976671
244	0.6094205684
245	0.6092426274
246	0.6089130495
247	0.6085822324
248	0.6082715289
249	0.6081242311
250	0.607793741
251	0.6074491226
252	0.6072432419
253	0.6069245546
254	0.6066563892
255	0.6063873726
256	0.606114461
257	0.6057930908
258	0.6055397063
259	0.6052344298
260	0.6049835028
261	0.6048200034
262	0.6045993717
263	0.6042758101
264	0.6040449529
265	0.6037581816
266	0.6034430587
267	0.6031832503
268	0.6029188267
269	0.6026931922
270	0.6024142261
271	0.6021834344
272	0.6020476617
273	0.6017672529
274	0.6014211575
275	0.6011517501
276	0.6008432445
277	0.6005425279
278	0.6003893479
279	0.6000849985
280	0.5998369978
281	0.5996239469
282	0.5993297038
283	0.5991657992
284	0.5988633679
285	0.5985507553
286	0.598309234
287	0.5980208955
288	0.5976822905
289	0.5973894537
290	0.5972351663
291	0.5969787187
292	0.5967501413
293	0.596473119
294	0.5961449394
295	0.5958536845
296	0.5955898095
297	0.5954121855
298	0.5951028913
299	0.5949063465
300	0.5947571707
301	0.5945942169
302	0.5942677674
303	0.5939754714
304	0.5936782528
305	0.5935444604
306	0.5933103915
307	0.5929813959
308	0.5927050576
309	0.5925042902
310	0.5923640896
311	0.5921531241
312	0.5918727421
313	0.5915583334
314	0.5912424952
315	0.5909485206
316	0.5906387856
317	0.5904106238
318	0.590287485
319	0.5900157559
320	0.5898254618
321	0.5895687632
322	0.589351812
323	0.5890925207
324	0.5888905341
325	0.5885738773
326	0.5884485544
327	0.5882058722
328	0.5878918737
329	0.587645401
330	0.5874518296
331	0.5871424294
332	0.5868890468
333	0.5867003527
334	0.5865163446
335	0.5862587326
336	0.5861099175
337	0.5858263548
338	0.5855270839
339	0.5853869737
340	0.5851611143
341	0.5849299717
342	0.5846493405
343	0.5843421862
344	0.5840870798
345	0.5837924475
346	0.583535989
347	0.5832024831
348	0.5830790342
349	0.5829485707
350	0.5826824737
351	0.5824171116
352	0.5821980682
353	0.5820175534
354	0.5817617494
355	0.5814440081
356	0.5811621418
357	0.580902052
358	0.5806085339
359	0.580380373
360	0.580197943
361	0.5800500215
362	0.5797886685
363	0.57948352
364	0.5793639589
365	0.5790595069
366	0.5788706873
367	0.5787125083
368	0.5785816773
369	0.5782700621
370	0.5780004868
371	0.5777494755
372	0.5774958369
373	0.5772811233
374	0.5771658733
375	0.5769152579
376	0.5766797981
377	0.5764167709
378	0.5761797304
379	0.5759574375
380	0.5757692312
381	0.5755016337
382	0.5752459998
383	0.5750548123
384	0.5747565988
385	0.5746211066
386	0.5744900435
387	0.5742686345
388	0.5739891153
389	0.5737805164
390	0.5736690138
391	0.5734899563
392	0.5733934566
393	0.5731491576
394	0.5729350208
395	0.5727231231
396	0.5725663521
397	0.5722799405
398	0.5721631716
399	0.5718973419
400	0.5716448494
401	0.5713850471
402	0.5710837786
403	0.5708442605
404	0.5706216738
405	0.5703460925
406	0.570053805
407	0.5698357951
408	0.5695809644
409	0.5693288368
410	0.5690649608
411	0.5688927152
412	0.5686431224
413	0.5684585774
414	0.5682374411
415	0.5679769557
416	0.567774127
417	0.5675555048
418	0.5673009762
419	0.5670239802
420	0.5668531151
421	0.566662278
422	0.5664453766
