iter	Logloss
0	0.6926898262
1	0.6922415584
2	0.6918174017
3	0.6913251967
4	0.6909177802
5	0.6904988284
6	0.6900797393
7	0.6896150794
8	0.6891427253
9	0.6887182638
10	0.6883192197
11	0.687817126
12	0.6874218814
13	0.6870925828
14	0.6867766161
15	0.6863397486
16	0.685917893
17	0.6854195794
18	0.6849703972
19	0.68447949
20	0.6841753754
21	0.6837791869
22	0.6833492953
23	0.6829361656
24	0.6824947243
25	0.6820842333
26	0.6817849097
27	0.6813515151
28	0.6809392108
29	0.6806442411
30	0.6803110495
31	0.6798998163
32	0.6795852191
33	0.6791675107
34	0.678882232
35	0.6784612075
36	0.6780640131
37	0.6777323666
38	0.6775376877
39	0.6771230391
40	0.6767291058
41	0.6763929776
42	0.6760356957
43	0.6756160729
44	0.6751557796
45	0.6747076342
46	0.6742881237
47	0.6738843124
48	0.6735610846
49	0.6732074819
50	0.6729639822
51	0.6725839256
52	0.6721198975
53	0.6717582618
54	0.6713441087
55	0.6709401588
56	0.6705474235
57	0.6701187187
58	0.6697291727
59	0.6693095869
60	0.6689621992
61	0.6685600714
62	0.6681232715
63	0.6678128384
64	0.6673724274
65	0.6669848276
66	0.6665949899
67	0.6663044025
68	0.6658944726
69	0.6655008688
70	0.6652237482
71	0.6648877958
72	0.6644567087
73	0.6640527648
74	0.6638948444
75	0.6635128356
76	0.6631462989
77	0.6628206286
78	0.6623720476
79	0.6620393277
80	0.6616025757
81	0.6612144621
82	0.6607733947
83	0.6605035414
84	0.6601089653
85	0.6597178432
86	0.6595467826
87	0.659255123
88	0.6588026679
89	0.6584301259
90	0.6579766725
91	0.6577935937
92	0.6574095159
93	0.6570493559
94	0.6566776779
95	0.656318991
96	0.6559976985
97	0.6555766385
98	0.6552865038
99	0.6549016981
100	0.654567677
101	0.6541555342
102	0.6539476331
103	0.6536000086
104	0.6532244486
105	0.652897902
106	0.652546452
107	0.6521922966
108	0.6517955389
109	0.6514062431
110	0.6509930967
111	0.6506231563
112	0.6502568097
113	0.6498546829
114	0.6495086765
115	0.6491844643
116	0.6488723904
117	0.648505665
118	0.6482104564
119	0.647779032
120	0.647389995
121	0.6469904036
122	0.6466350954
123	0.6463153577
124	0.6459620821
125	0.645574972
126	0.6452299605
127	0.6449486156
128	0.6445997827
129	0.6441977661
130	0.6439049471
131	0.6435460419
132	0.6432022083
133	0.6427890319
134	0.642361439
135	0.641979144
136	0.6415945921
137	0.6412485593
138	0.6409526583
139	0.6405605071
140	0.640181641
141	0.6398350197
142	0.6394397
143	0.6390726803
144	0.6387390463
145	0.6384431731
146	0.6381059729
147	0.6376787196
148	0.637447981
149	0.6371810727
150	0.6368742058
151	0.6367263526
152	0.6363461613
153	0.6360147215
154	0.6355886319
155	0.6352950636
156	0.6349960681
157	0.6346240846
158	0.6343006383
159	0.6339288911
160	0.6335569054
161	0.6333491968
162	0.6329790003
163	0.6326647278
164	0.6323011377
165	0.6320147746
166	0.6317547834
167	0.631458366
168	0.6310950095
169	0.6309321084
170	0.6306479473
171	0.6303321767
172	0.6300373786
173	0.629702264
174	0.6294416147
175	0.6291730745
176	0.6288454001
177	0.6285731355
178	0.6283176324
179	0.6280146559
180	0.6277502006
181	0.6274725779
182	0.6271480373
183	0.6267887302
184	0.6264507411
185	0.6260778515
186	0.6257538858
187	0.6254122839
188	0.6252513344
189	0.624967667
190	0.6247933403
191	0.6245339801
192	0.6242127427
193	0.6238281279
194	0.623585561
195	0.6234353451
196	0.6231673311
197	0.6228215826
